지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 최심신적설(cm),일 최심적설(cm),9-9강수(mm)
108,서울,2023-01-01,-0.2,-4.3,3.8,,2.7,55,,,
108,서울,2023-01-02,-4.5,-7.4,-0.4,,2.5,46,,,
108,서울,2023-01-03,-5,-9,0.6,,1.8,49,,,
108,서울,2023-01-04,-1.8,-5.7,3.3,,1.9,51,,,
108,서울,2023-01-05,-1.6,-5.6,3.6,,1.6,58.1,,,
108,서울,2023-01-06,0.6,-4.7,5.7,3.9,2.2,71.9,3.6,3.6,4
108,서울,2023-01-07,1.5,-1.4,3.8,0.1,2.2,80.9,,3.6,
108,서울,2023-01-08,1.3,-3.7,6.3,,1.7,69.3,,,
108,서울,2023-01-09,3.1,-1.3,7,,2.3,60.1,,,
108,서울,2023-01-10,1.6,-3.9,9.1,,1.5,59.9,,,
108,서울,2023-01-11,2.6,-2,9.2,,1.6,61.9,,,
108,서울,2023-01-12,5.9,-0.6,12.5,0,2.2,46.6,,,35.6
108,서울,2023-01-13,8.3,5.1,10.1,37.3,2.5,99.1,,,1.9
108,서울,2023-01-14,6.6,3.8,8.4,1.6,2.5,92.9,,,4.1
108,서울,2023-01-15,-0.2,-3.5,3.8,3.2,2.8,93.9,0.6,0.6,0.5
108,서울,2023-01-16,-4.6,-6.8,-1.2,0,2.7,63.1,,0.3,
108,서울,2023-01-17,-3.7,-7,-0.4,0,1.8,65.1,,,0
108,서울,2023-01-18,-1.9,-4.6,2.2,0,2,60.5,,,
108,서울,2023-01-19,-0.4,-6,4.3,1,2.5,69.3,,,1
108,서울,2023-01-20,-3.3,-7.7,2,,3.7,52.4,,,
108,서울,2023-01-21,-4.5,-10.5,1.5,,1.8,55.4,,,
108,서울,2023-01-22,-0.6,-2.8,2.6,0,2.6,62.8,,,0
108,서울,2023-01-23,-0.8,-6.9,4.6,,2.7,66.6,,,0
108,서울,2023-01-24,-14.7,-17,-6.9,0,4.6,51.9,,,
108,서울,2023-01-25,-11.3,-17.3,-5.4,0,2.1,45.1,,,0.8
108,서울,2023-01-26,-6,-9,-3.5,0.8,2.5,80.1,4.5,4.5,0
108,서울,2023-01-27,-7.3,-9.6,-3.8,,3.5,56.5,,1.7,
108,서울,2023-01-28,-6,-11.2,-0.6,0,2.4,54.9,,,0
108,서울,2023-01-29,-1.8,-8,4.9,,2.6,58.3,,,
108,서울,2023-01-30,-0.9,-4.4,4.2,,2.1,55.9,,,
108,서울,2023-01-31,2.4,-3.5,7.8,,2.7,69.1,,,
108,서울,2023-02-01,0.9,-3,6,,3.2,68.4,,,
108,서울,2023-02-02,-2.4,-5.1,1.4,,2.5,50.3,,,
108,서울,2023-02-03,-1.6,-3.9,3.4,,2.2,47.4,,,
108,서울,2023-02-04,-0.2,-5.2,6,,2,49.8,,,
108,서울,2023-02-05,1.7,-3.3,7.1,,1.8,71,,,
108,서울,2023-02-06,3,-1.7,8.8,,1.6,72.3,,,
108,서울,2023-02-07,3.5,-0.6,9.5,,1.5,72.9,,,
108,서울,2023-02-08,2.1,-1.3,7.8,,2.5,62.1,,,
108,서울,2023-02-09,4,-2.8,9.9,0,2.5,49.9,,,0.6
108,서울,2023-02-10,3.8,1.1,6.2,0.6,2.2,79.6,,,0
108,서울,2023-02-11,2.8,-1.2,8.5,,1.8,73,,,
108,서울,2023-02-12,3.7,-0.9,7.6,,1.8,70,,,
108,서울,2023-02-13,5.9,2.7,8.4,,2.3,66.5,,,
108,서울,2023-02-14,1.7,-2.5,6.6,,2.7,54.9,,,
108,서울,2023-02-15,3.2,-1.2,8.9,,2.5,46.4,,,
108,서울,2023-02-16,2.3,-0.7,4.5,0,2.7,68.3,,,0
108,서울,2023-02-17,3.4,-1.5,9.8,,1.8,67.8,,,
108,서울,2023-02-18,5.7,3,8.1,,1.5,58.3,,,0.4
108,서울,2023-02-19,3.5,0.2,6.1,0.4,3.3,56.1,,,
108,서울,2023-02-20,-0.5,-3.5,2.4,,3.3,46.4,,,
108,서울,2023-02-21,-1.3,-5.3,4.8,,2.1,42.4,,,
108,서울,2023-02-22,1.2,-4.5,8.4,,2.2,50.6,,,
108,서울,2023-02-23,2.9,-1.8,9.2,,1.9,65.5,,,
108,서울,2023-02-24,3.5,-0.4,8.5,,3,57.9,,,
108,서울,2023-02-25,0.7,-2.9,5.7,,2.9,44,,,
108,서울,2023-02-26,2.2,-3.4,9.4,,2.1,46.6,,,
108,서울,2023-02-27,4.4,-1.8,12.4,,1.9,47.4,,,
108,서울,2023-02-28,4.3,-0.7,8.7,,2,63.4,,,
108,서울,2023-03-01,6,2.9,9,,3.1,54.4,,,
108,서울,2023-03-02,2.2,-1.8,6.6,,2.8,37.8,,,
108,서울,2023-03-03,4.6,-1.9,10.4,,2.1,65,,,
108,서울,2023-03-04,7.7,3.7,14.1,,1.9,68.4,,,
108,서울,2023-03-05,8,2.5,15.4,,1.7,54,,,
108,서울,2023-03-06,9.2,2.2,16.5,,2.1,41.9,,,
108,서울,2023-03-07,11.7,6.3,19.4,,2.3,60.9,,,
108,서울,2023-03-08,12.5,7.4,17.7,1.2,2,66.3,,,4.8
108,서울,2023-03-09,10.3,7.4,13.1,3.7,2.3,85.9,,,0.1
108,서울,2023-03-10,13.5,6.2,22.2,,2.1,62.1,,,
108,서울,2023-03-11,15.2,10.2,22.8,,2.4,52,,,1.4
108,서울,2023-03-12,5.9,0.6,12.6,5.6,3.7,68,,,4.2
108,서울,2023-03-13,2.9,-1.9,7.6,,3.2,38.9,,,
108,서울,2023-03-14,9.2,3.3,15.4,,2.9,45.9,,,
108,서울,2023-03-15,8.6,3.5,14.4,,3,66.6,,,
108,서울,2023-03-16,4.6,0.4,9,,2.4,36.8,,,
108,서울,2023-03-17,7.2,0.7,12.7,,1.7,34.3,,,
108,서울,2023-03-18,7.7,2.5,14,,2.6,46.4,,,
108,서울,2023-03-19,8.3,2.3,15.2,,2.1,59.6,,,
108,서울,2023-03-20,9.5,2.6,17.1,,1.6,50.4,,,
108,서울,2023-03-21,13,5,22.2,,1.7,35.1,,,
108,서울,2023-03-22,17,9.2,25.1,,1.8,44.8,,,0
108,서울,2023-03-23,17.4,12.3,23.3,0,2.5,48.9,,,
108,서울,2023-03-24,12.5,7.6,18.3,,2.3,36.8,,,
108,서울,2023-03-25,12.5,8,18.7,,2.3,59.9,,,
108,서울,2023-03-26,9.4,4.7,14,,3.6,34,,,
108,서울,2023-03-27,7.3,1.9,14.5,,2.3,44.8,,,
108,서울,2023-03-28,9.2,2.8,15.7,,2.1,53.3,,,
108,서울,2023-03-29,11.8,5.1,19.7,,1.9,50.3,,,
108,서울,2023-03-30,13.3,6.4,21.2,,2.2,42.5,,,
108,서울,2023-03-31,15,7.5,23.9,,2.1,42.5,,,
108,서울,2023-04-01,17.5,9.4,25.6,,1.8,40.4,,,
108,서울,2023-04-02,18.8,11.9,25.2,,2.4,29.6,,,
108,서울,2023-04-03,19,11.3,25.9,,2.3,29.4,,,
108,서울,2023-04-04,17.6,12.7,21.7,6.9,2.6,40.4,,,34.3
108,서울,2023-04-05,11.9,8.7,14.9,50.3,3.4,97.8,,,23.3
108,서울,2023-04-06,8.8,7.4,9.7,2.7,2.5,94.6,,,2.3
108,서울,2023-04-07,8.9,4.6,15.7,,2.9,65,,,
108,서울,2023-04-08,8.8,3.1,14.9,,3.2,51.1,,,
108,서울,2023-04-09,10.8,3.5,17.8,,2.5,56.8,,,
108,서울,2023-04-10,13.2,6.2,19.1,,2.7,50.8,,,
108,서울,2023-04-11,13.1,9.2,17.4,2.9,3.6,73.4,,,2.9
108,서울,2023-04-12,10.1,4.8,15.3,,2.7,45.1,,,
108,서울,2023-04-13,11.9,5.1,17.2,0,1.8,45,,,0
108,서울,2023-04-14,16.2,11.9,21.3,,1.6,58.6,,,
108,서울,2023-04-15,13.5,9.3,16.6,4.6,2.2,81.8,,,4.6
108,서울,2023-04-16,10.8,7.5,16.1,0,2.5,71.4,,,0
108,서울,2023-04-17,13.1,6.8,18.1,,2,59,,,0.9
108,서울,2023-04-18,14,10.7,18.4,1.5,2.7,78.6,,,0.6
108,서울,2023-04-19,19.1,11.5,28.4,,2.4,66.1,,,0.5
108,서울,2023-04-20,15.8,14.5,18.9,0.5,2.4,92.1,,,0
108,서울,2023-04-21,16.7,11.4,22.8,,2.5,50.4,,,
108,서울,2023-04-22,16.9,12.2,22.5,,2.6,22.9,,,
108,서울,2023-04-23,16.1,10.7,22.1,,2.1,34.1,,,
108,서울,2023-04-24,15.8,11.5,21.3,,2.7,40.5,,,0
108,서울,2023-04-25,10.9,9,13.2,0.4,1.9,68.6,,,0.4
108,서울,2023-04-26,10.2,7.4,13.5,0,3.1,69.9,,,
108,서울,2023-04-27,12.9,5.1,20,,1.9,61.6,,,
108,서울,2023-04-28,15.7,9,21.3,1.9,2.1,62,,,19.7
108,서울,2023-04-29,13.2,9.9,15.8,25.1,2.9,88.1,,,7.3
108,서울,2023-04-30,12.7,7.9,17.9,0.1,3.3,72.9,,,0.1
108,서울,2023-05-01,14.6,9.8,20.8,,2.5,57,,,
108,서울,2023-05-02,16.7,9.1,23.7,,2.1,40.5,,,
108,서울,2023-05-03,19.5,12.4,26.2,,2.1,52.5,,,
108,서울,2023-05-04,21.4,15.6,25.8,,2.1,65.5,,,5.3
108,서울,2023-05-05,18.4,15.5,21.6,30.2,2.5,95.3,,,58
108,서울,2023-05-06,12.6,11.7,15.5,47.5,5.4,85.6,,,14.4
108,서울,2023-05-07,14.4,11.1,18.6,,2.6,47.1,,,
108,서울,2023-05-08,15.3,7.9,22,,2.2,55.3,,,
108,서울,2023-05-09,17,10,24.4,,2.3,55.4,,,
108,서울,2023-05-10,18.4,10.7,26,,1.8,53.3,,,
108,서울,2023-05-11,19.5,12.8,26.7,,2.3,50.1,,,
108,서울,2023-05-12,18.4,13.1,24.7,,1.8,50.9,,,
108,서울,2023-05-13,17.8,12.6,23.9,0,2,62,,,0
108,서울,2023-05-14,18.1,12.9,23.8,,2,56.5,,,
108,서울,2023-05-15,20.6,12.8,27.9,,2.4,54.6,,,
108,서울,2023-05-16,24,17.2,31.2,,2.5,51.9,,,
108,서울,2023-05-17,23.5,18.6,28.7,,3.4,63.6,,,
108,서울,2023-05-18,21.2,18.8,27.6,1.3,2.1,74.8,,,1.3
108,서울,2023-05-19,22.3,16.7,27.8,,2.3,61.4,,,
108,서울,2023-05-20,21.2,16.6,26.7,,3,66.9,,,0.2
108,서울,2023-05-21,17.8,15.3,21.9,0.2,3,74,,,
108,서울,2023-05-22,20.3,15.9,26.8,0,1.9,61.3,,,0
108,서울,2023-05-23,20.5,14.1,26.9,,2.2,48,,,
108,서울,2023-05-24,20.6,14.8,25.9,,2,49.8,,,
108,서울,2023-05-25,21.2,15.7,27.4,0,2.4,46.6,,,0.5
108,서울,2023-05-26,21.4,15.8,27.3,0.5,2.1,57.4,,,0
108,서울,2023-05-27,19.3,18.6,20.7,31.8,1.7,87.4,,,46.5
108,서울,2023-05-28,19.2,18.4,20.2,41.8,1.8,98.9,,,29.4
108,서울,2023-05-29,23.2,19,28.5,2.3,1.6,83.4,,,
108,서울,2023-05-30,24,20.5,28.9,,2.2,69.5,,,
108,서울,2023-05-31,22.8,18.8,28.2,,2.5,60.8,,,
108,서울,2023-06-01,22.8,19.7,26.3,,1.9,66.9,,,
108,서울,2023-06-02,20.4,17.9,25,0,2.3,77.4,,,0
108,서울,2023-06-03,22,16.6,27.8,,2.7,60.1,,,
108,서울,2023-06-04,22.1,16.9,28,,2.4,61,,,
108,서울,2023-06-05,21.5,17.6,26.3,,2.6,66.9,,,
108,서울,2023-06-06,20.3,17.3,25.2,0,2.6,72.9,,,0
108,서울,2023-06-07,21.4,18.9,25.7,0,2.1,75.3,,,0
108,서울,2023-06-08,20.4,18.3,23.9,1.9,2.4,80.5,,,3.1
108,서울,2023-06-09,23.3,18.3,28.4,1.2,2,64,,,
108,서울,2023-06-10,23.2,19.6,28.5,0.8,2.3,70,,,33
108,서울,2023-06-11,22.1,17.9,27.3,32.2,2.2,76.1,,,0
108,서울,2023-06-12,22.2,18.4,27.5,0,1.7,70.5,,,0
108,서울,2023-06-13,22,19.2,26,0,2.2,70,,,
108,서울,2023-06-14,20.6,17.5,25,30.6,1.5,80.3,,,30.6
108,서울,2023-06-15,22.7,17.7,28.3,,2.1,70.8,,,
108,서울,2023-06-16,23.7,19.1,28.9,,2.1,64.4,,,
108,서울,2023-06-17,24.2,18.9,30.2,,2,57.1,,,
108,서울,2023-06-18,25.9,20.8,32.6,,2,60.5,,,
108,서울,2023-06-19,28.5,23.3,34,,2.2,57.8,,,
108,서울,2023-06-20,24.7,21.4,26.4,6.4,1.9,64.5,,,30.4
108,서울,2023-06-21,20.5,19.2,22.1,24.9,2.1,92.6,,,0.9
108,서울,2023-06-22,22.5,18.9,26.4,0,2.2,77.1,,,0
108,서울,2023-06-23,24.4,20,29.9,,1.5,76.6,,,
108,서울,2023-06-24,26.4,21.9,31.1,,2,70.5,,,
108,서울,2023-06-25,28.2,22.8,33.1,,2.1,64.9,,,14.9
108,서울,2023-06-26,24.2,22.3,27.5,30.3,2.9,88.6,,,17.9
108,서울,2023-06-27,25.3,21.4,29.1,2.5,3.2,73.1,,,0
108,서울,2023-06-28,26.5,24.2,30.1,0,2.5,77.4,,,3.9
108,서울,2023-06-29,24.2,23.2,25.9,63.8,2.3,95.4,,,60.5
108,서울,2023-06-30,25.3,23.2,29.1,1,1.8,89.8,,,0.4
108,서울,2023-07-01,27.7,23.3,32.9,,2,76.9,,,
108,서울,2023-07-02,26.7,23.5,30.6,,1.9,79.5,,,
108,서울,2023-07-03,29.1,24.1,34.9,,1.8,72,,,
108,서울,2023-07-04,26.1,24.5,29.2,61.8,2.3,86.8,,,77.1
108,서울,2023-07-05,24.5,22.1,27.1,15.3,3.7,82.6,,,
108,서울,2023-07-06,27.3,22.4,31.8,,2.7,70.9,,,
108,서울,2023-07-07,26.7,23.3,31.4,,2.3,64.9,,,
108,서울,2023-07-08,25.6,22.4,29.7,,2.2,76.5,,,0
108,서울,2023-07-09,24.7,21.6,27,47.5,2,86.4,,,59
108,서울,2023-07-10,26.3,22.9,30.9,11.5,2.3,80.4,,,2.2
108,서울,2023-07-11,23.5,21.6,25.9,58.3,1.9,92.4,,,56.8
108,서울,2023-07-12,25.8,22,29.1,0.7,1.5,86.4,,,0.1
108,서울,2023-07-13,25.2,24.7,26.5,91.6,1.6,95,,,152.3
108,서울,2023-07-14,24.6,23.9,25.1,72.7,2.9,99.1,,,13.4
108,서울,2023-07-15,24.5,23.7,25.7,2.3,3,93.5,,,0.9
108,서울,2023-07-16,24.6,23.7,25.4,9.7,2.3,89.5,,,9.6
108,서울,2023-07-17,25.5,23.7,27.8,1.4,1.7,86.1,,,2
108,서울,2023-07-18,25.2,24.1,27.7,2.3,1.4,87.9,,,1.7
108,서울,2023-07-19,27.2,22.5,32.4,,1.7,78.8,,,
108,서울,2023-07-20,27.9,24,32.8,,1.8,74,,,
108,서울,2023-07-21,29.5,24.6,34.3,,1.8,69.6,,,
108,서울,2023-07-22,27.7,24.6,32.5,12.3,2.6,73.9,,,37.2
108,서울,2023-07-23,25.2,24.5,25.8,40.2,2.1,94.3,,,15.7
108,서울,2023-07-24,26.9,24.6,30,0.4,2,83.1,,,0.1
108,서울,2023-07-25,27.8,25.8,30.5,5.6,2.7,80.5,,,5.5
108,서울,2023-07-26,27.6,24.9,31.1,1,2.2,80.9,,,1
108,서울,2023-07-27,28.4,24.4,32.2,0,1.9,78.1,,,0
108,서울,2023-07-28,29.5,25.4,34.1,,2.1,72.4,,,
108,서울,2023-07-29,29.1,26.1,33.3,,2,72.1,,,
108,서울,2023-07-30,28.8,24.9,34.9,25,1.9,72.5,,,25
108,서울,2023-07-31,28.7,25.6,33.4,0.3,1.7,76.3,,,0.3
108,서울,2023-08-01,29.9,25.5,34.2,,1.9,71.6,,,
108,서울,2023-08-02,29.7,26.8,33.7,,2.1,67.8,,,
108,서울,2023-08-03,29.5,25.8,33.8,,2.1,67,,,
108,서울,2023-08-04,30,26.5,34.4,,1.9,67.6,,,
108,서울,2023-08-05,30.3,26.4,34.9,,2,69,,,
108,서울,2023-08-06,29.8,27,33,4.9,1.7,76.5,,,4.9
108,서울,2023-08-07,30.4,27.3,34.6,,2.7,68.4,,,
108,서울,2023-08-08,30.9,26.4,35.8,,2.9,60.5,,,
108,서울,2023-08-09,28.3,25.1,31.6,0.2,3.2,67.6,,,5.2
108,서울,2023-08-10,22.2,20.9,25.1,86.1,3.7,91.9,,,100.2
108,서울,2023-08-11,23.5,21.6,24.9,46.7,2.3,93.1,,,27.8
108,서울,2023-08-12,23.3,22.5,24.1,1.5,1.9,91,,,1.3
108,서울,2023-08-13,27,22.6,31.1,,1.7,76.9,,,
108,서울,2023-08-14,28.1,24.8,31.9,,1.6,75.4,,,
108,서울,2023-08-15,28.6,24.7,32.7,,2.3,71.4,,,
108,서울,2023-08-16,27.3,24.7,31.6,0.3,2.1,72,,,0.3
108,서울,2023-08-17,28.2,24.5,32.4,,1.7,73,,,
108,서울,2023-08-18,29.1,25.5,33.3,0.1,1.9,72.1,,,0.1
108,서울,2023-08-19,29.1,26.4,33.6,,1.9,68.9,,,
108,서울,2023-08-20,28.3,25.5,31.8,0,1.6,71.8,,,0
108,서울,2023-08-21,29.5,26,33.6,0,2.4,69.8,,,0.3
108,서울,2023-08-22,27.6,25.8,32.2,42.6,2.4,80.3,,,42.4
108,서울,2023-08-23,24.8,23.2,27.2,41.8,2.2,91.3,,,46.9
108,서울,2023-08-24,25.1,22.3,27.8,5.2,2.8,84.8,,,0
108,서울,2023-08-25,26.5,24,30,0,2.6,77.9,,,
108,서울,2023-08-26,26.4,23.3,30.3,,1.8,72.3,,,
108,서울,2023-08-27,26.1,22.7,29.6,0,1.8,75,,,6.1
108,서울,2023-08-28,22.7,20.8,25.6,10.4,3.3,87.5,,,7
108,서울,2023-08-29,23.9,22.5,25.5,54.8,2.1,89.6,,,52.4
108,서울,2023-08-30,22.8,21.5,24.5,3.5,1.1,88,,,3.2
